YEAR,MONTH,DAY,START_HOUR,END_HOUR,NORTH,QUEZON,KAMUNING,CUBAO,SANTOLAN,ORTIGAS,SHAW,BONI,GUADALUPE,BUENDIA,AYALA,MAGALLANES,TAFT,ACTIVITY
2012,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ENTRY
2012,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,ENTRY
2012,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,ENTRY
2012,1,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,ENTRY
2012,1,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,ENTRY
2012,1,1,5,6,0,0,0,0,0,0,0,0,0,0,0,0,910,ENTRY
2012,1,1,6,7,220,109,37,23,0,0,34,0,0,0,0,0,1553,ENTRY
2012,1,1,7,8,702,387,197,579,44,88,478,167,334,155,296,394,2105,ENTRY
2012,1,1,8,9,1019,436,211,559,68,73,588,247,521,94,229,430,2276,ENTRY
2012,1,1,9,10,1345,543,346,855,69,115,748,304,696,76,253,551,2239,ENTRY
2012,1,1,10,11,2282,1030,475,1120,114,146,1037,445,1048,75,252,806,2235,ENTRY
2012,1,1,11,12,2722,1084,584,1578,100,182,1402,592,1321,86,266,931,2140,ENTRY
2012,1,1,12,13,2383,940,496,1462,144,193,1303,464,1260,98,346,764,2160,ENTRY
2012,1,1,13,14,2176,877,473,1638,107,207,1253,506,1221,86,412,743,2191,ENTRY
2012,1,1,14,15,2145,818,513,1625,116,263,1392,586,1321,100,515,754,2179,ENTRY
2012,1,1,15,16,2213,859,500,1697,186,306,1477,512,1279,133,597,799,2543,ENTRY
2012,1,1,16,17,2503,891,549,1769,157,374,1444,565,1308,132,604,813,2635,ENTRY
2012,1,1,17,18,2432,839,484,1623,149,381,1359,442,1226,115,595,883,2758,ENTRY
2012,1,1,18,19,2456,809,553,1695,139,362,1176,535,924,157,609,824,2590,ENTRY
2012,1,1,19,20,2445,682,476,1529,85,345,1045,358,683,141,620,670,2707,ENTRY
2012,1,1,20,21,2075,570,395,1424,79,336,836,262,767,73,1108,576,2358,ENTRY
2012,1,1,21,22,1708,263,189,1072,39,348,616,269,485,70,983,370,1734,ENTRY
2012,1,1,22,23,0,3,6,75,11,76,128,55,101,41,300,97,353,ENTRY
2012,1,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ENTRY
2012,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ENTRY
2012,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,ENTRY
2012,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,ENTRY
2012,1,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,ENTRY
2012,1,2,4,5,0,64,53,85,3,0,24,0,0,0,0,0,0,ENTRY
2012,1,2,5,6,2880,1087,1149,1848,24,75,846,191,443,59,68,572,1630,ENTRY
2012,1,2,6,7,6443,3482,2150,2732,88,327,1653,597,1229,209,404,1587,4201,ENTRY
2012,1,2,7,8,9651,3639,1899,2716,165,634,2482,1153,2184,401,659,2262,6240,ENTRY
2012,1,2,8,9,6044,2795,1233,2731,135,501,2313,1087,2109,325,643,1984,5593,ENTRY
2012,1,2,9,10,6241,2224,1129,2942,152,441,2071,904,2087,308,596,1642,4502,ENTRY
2012,1,2,10,11,4391,1970,1085,3251,148,444,1799,862,1838,401,673,1534,4186,ENTRY
2012,1,2,11,12,4566,1901,1124,3592,212,525,2018,937,1824,413,844,1503,4165,ENTRY
2012,1,2,12,13,3940,1760,1027,3337,164,531,2215,934,1715,407,962,1471,4323,ENTRY
2012,1,2,13,14,3428,1688,982,3098,194,608,2225,927,1738,476,1096,1526,3824,ENTRY
2012,1,2,14,15,3115,1506,988,3165,238,860,2073,931,1688,685,1430,1584,3824,ENTRY
2012,1,2,15,16,3036,1580,977,3076,246,925,2569,1004,1585,728,1965,1722,4298,ENTRY
2012,1,2,16,17,3104,1630,1144,3428,371,1113,2689,1145,1914,1107,2751,2215,4572,ENTRY
2012,1,2,17,18,3489,2629,1603,3711,507,1673,3611,1655,1891,2300,3757,3810,5369,ENTRY
2012,1,2,18,19,3590,2036,1190,3705,450,2224,3896,1660,1801,2410,4425,4170,5288,ENTRY
2012,1,2,19,20,3463,1317,785,3276,349,1545,2993,1254,1262,1653,4086,2646,4301,ENTRY
2012,1,2,20,21,3039,913,642,2612,340,927,2305,869,1121,697,2920,1568,3144,ENTRY
2012,1,2,21,22,2728,676,382,1671,165,657,1828,585,950,499,2935,1074,2368,ENTRY
2012,1,2,22,23,17,39,25,111,23,123,286,248,302,211,569,378,546,ENTRY
2012,1,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ENTRY
2012,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ENTRY
2012,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,ENTRY
2012,1,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,ENTRY
2012,1,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,ENTRY
2012,1,3,4,5,0,87,85,102,15,2,44,0,0,0,0,0,0,ENTRY
2012,1,3,5,6,3441,1385,1017,2059,165,128,953,285,640,96,223,629,1810,ENTRY
2012,1,3,6,7,8664,3570,1915,3149,399,458,2201,1029,1896,387,705,1779,4500,ENTRY
2012,1,3,7,8,9777,4338,2188,2755,649,868,3063,1635,2803,591,987,3205,7288,ENTRY
2012,1,3,8,9,9604,3669,1680,3305,744,798,3035,1545,2921,523,929,2517,7130,ENTRY
2012,1,3,9,10,6022,2565,1429,3033,741,677,2546,1288,2711,565,914,2183,5546,ENTRY
2012,1,3,10,11,5197,2235,1249,2853,728,718,2336,1054,2174,603,926,1786,4549,ENTRY
2012,1,3,11,12,4473,2189,1253,3051,834,709,2392,1058,2020,644,1127,1765,4840,ENTRY
2012,1,3,12,13,3844,1966,1038,2975,720,716,2530,1035,1920,651,1322,1586,4337,ENTRY
2012,1,3,13,14,3663,1868,1032,3053,859,784,2399,929,1876,715,1440,1580,4123,ENTRY
2012,1,3,14,15,3191,1824,1108,2813,946,1012,2743,1117,1754,875,1738,1708,4056,ENTRY
2012,1,3,15,16,2862,1674,1035,2800,927,1134,2933,1170,1638,1037,2356,1912,4611,ENTRY
2012,1,3,16,17,3045,1897,1142,2827,998,1341,3017,1262,1824,1512,3198,2604,4489,ENTRY
